id,amount,currency,timestamp,status,channel
TXN-NORM-001-1,53.29,USD,2026-09-19T11:00:00Z,COMPLETED,POS
TXN-NORM-001-2,46.74,USD,2026-09-18T11:00:00Z,COMPLETED,ONLINE
TXN-NORM-002-1,131.36,USD,2026-09-19T10:00:00Z,COMPLETED,POS
TXN-NORM-002-2,29.5,USD,2026-09-18T10:00:00Z,COMPLETED,ONLINE
TXN-NORM-003-1,46.16,USD,2026-09-19T09:00:00Z,COMPLETED,POS
TXN-NORM-003-2,82.43,USD,2026-09-18T09:00:00Z,COMPLETED,ONLINE
TXN-NORM-004-1,100.71,USD,2026-09-19T08:00:00Z,COMPLETED,POS
TXN-NORM-004-2,87.44,USD,2026-09-18T08:00:00Z,COMPLETED,ONLINE
TXN-NORM-005-1,120.89,USD,2026-09-19T07:00:00Z,COMPLETED,POS
TXN-NORM-005-2,19.32,USD,2026-09-18T07:00:00Z,COMPLETED,ONLINE
TXN-NORM-006-1,61.54,USD,2026-09-19T06:00:00Z,COMPLETED,POS
TXN-NORM-006-2,38.17,USD,2026-09-18T06:00:00Z,COMPLETED,ONLINE
TXN-NORM-007-1,30.23,USD,2026-09-19T05:00:00Z,COMPLETED,POS
TXN-NORM-007-2,30.73,USD,2026-09-18T05:00:00Z,COMPLETED,ONLINE
TXN-NORM-008-1,120.6,USD,2026-09-19T04:00:00Z,COMPLETED,POS
TXN-NORM-008-2,110.81,USD,2026-09-18T04:00:00Z,COMPLETED,ONLINE
TXN-NORM-009-1,66.38,USD,2026-09-19T03:00:00Z,COMPLETED,POS
TXN-NORM-009-2,88.33,USD,2026-09-18T03:00:00Z,COMPLETED,ONLINE
TXN-NORM-010-1,127.51,USD,2026-09-19T02:00:00Z,COMPLETED,POS
TXN-NORM-010-2,91.54,USD,2026-09-18T02:00:00Z,COMPLETED,ONLINE
TXN-RING-001,2450.0,USD,2026-09-20T11:50:00Z,FLAGGED,MOBILE_APP
TXN-RING-001-B,2100.0,USD,2026-09-20T11:52:00Z,FLAGGED,MOBILE_APP
TXN-RING-001-C,1950.0,USD,2026-09-20T11:55:00Z,FLAGGED,MOBILE_APP
TXN-RING-002,2450.0,USD,2026-09-20T11:40:00Z,FLAGGED,MOBILE_APP
TXN-RING-003,2450.0,USD,2026-09-20T11:30:00Z,FLAGGED,MOBILE_APP
TXN-RING-004,2450.0,USD,2026-09-20T11:20:00Z,FLAGGED,MOBILE_APP
TXN-PROXY-001,19.09,USD,2026-09-20T11:56:00Z,FLAGGED,WEB
TXN-PROXY-002,5.92,USD,2026-09-20T11:52:00Z,FLAGGED,WEB
TXN-PROXY-003,9.56,USD,2026-09-20T11:48:00Z,FLAGGED,WEB
TXN-COLLUDE-001-1,9650.0,USD,2026-09-20T08:40:00Z,FLAGGED,WIRE
TXN-COLLUDE-001-2,9800.0,USD,2026-09-20T08:20:00Z,FLAGGED,WIRE
TXN-COLLUDE-002-1,9650.0,USD,2026-09-20T05:40:00Z,FLAGGED,WIRE
TXN-COLLUDE-002-2,9800.0,USD,2026-09-20T05:20:00Z,FLAGGED,WIRE
TXN-COLLUDE-003-1,9650.0,USD,2026-09-20T02:40:00Z,FLAGGED,WIRE
TXN-COLLUDE-003-2,9800.0,USD,2026-09-20T02:20:00Z,FLAGGED,WIRE
TXN-CHAIN-HOP-1,25000.0,USD,2026-09-20T06:00:00Z,COMPLETED,P2P_TRANSFER
TXN-CHAIN-HOP-2,24200.0,USD,2026-09-20T08:00:00Z,COMPLETED,P2P_TRANSFER
TXN-CHAIN-HOP-3,23500.0,USD,2026-09-20T10:00:00Z,FLAGGED,SWIFT_WIRE
